run,auc
1,0.9494199346405229
2,0.955390427373186
3,0.9444602955922035
4,0.9439287069838057
5,0.9265359477124183
6,0.949578835978836
7,0.9417424829010195
8,0.9520051144032012
9,0.9408650273593191
10,0.9509557486360881
11,0.9465217391304348
12,0.944886768612713
13,0.9370710722121157
14,0.9406594669117647
15,0.9490184399674826
16,0.9458951549369747
17,0.9521188339925611
18,0.9455686236313017
19,0.9450662823735558
20,0.9277116257173237
21,0.9517477421415061
22,0.9590114379084967
23,0.9512868983568417
24,0.9583193931141801
25,0.9449741010434651
26,0.9534165181224005
27,0.9523809523809523
28,0.9496371411909544
29,0.9297172431001038
30,0.9526213351323268
31,0.9239434899748895
32,0.9527532679738562
33,0.9417725004859716
34,0.955650623885918
35,0.9480769684435673
36,0.9560648148148149
37,0.93619110731423
38,0.9463383009453782
39,0.9127207432524509
40,0.945879379592888
41,0.9319156042977231
42,0.9556043200222715
43,0.9398822605965463
44,0.9446799089068826
45,0.9539133986928104
46,0.9531075460487225
47,0.9556290965171572
48,0.9488828329189775
49,0.9404077239429379
50,0.9551457495218625
51,0.9541343669250646
52,0.947232
53,0.958104
54,0.9528640561740891
55,0.948906906512605
56,0.9165103114595725
57,0.9269341670446446
58,0.9521038053155708
59,0.948029679511161
60,0.950033067496596
61,0.962786615298577
62,0.9560428264170041
63,0.9322256885359551
64,0.9445479962721341
65,0.9551673598732422
66,0.9321374146955542
67,0.9441073317374603
68,0.9418986344537815
69,0.9431535947712418
70,0.9420637750049514
71,0.9601660602520896
72,0.9234982219964439
73,0.9467528793695696
74,0.9640077275168538
75,0.9642791559214046
76,0.9666229124493927
77,0.9669628331873358
78,0.9567451442496533
79,0.9436176463486289
80,0.9530096433638746
81,0.9588439801879604
82,0.9602776184101486
83,0.9438656494633118
84,0.9376813531599683
85,0.9561042634875733
86,0.9437796020184399
87,0.9293008516537928
88,0.9287246741515034
89,0.9617728758169934
90,0.921384
91,0.9583201543522267
92,0.936961823505734
93,0.9522136163702428
94,0.9321677583785846
95,0.9597761259570935
96,0.9328381355325629
97,0.9616277628589135
98,0.9224577364821267
99,0.9381484058704453
100,0.9291847860339069
