denkmalnummern,hauptstruktur,periode,gemeinde,gemeinde_wkt,landkreis,regierungsbezirk,bibliographie,befund_e1,befund_e2,befunde_e3,lng_gk,lat_gk,lng_wgs84,lat_wgs84,DenkmalNummer,fender_typ,fender_zeitstellung,Höhe_SRTM1_puffer50m,Neigung_SRTM1_puffer50m,Hangausrichtung_SRTM1_puffer50m,Loess_1zu500k_puffer50m,Wasser_puffer50m,Umfeldanalyse_km2,Viewshed_km2,CorineCode,Reliefenergie,Frosttage_Jahr,Niederschlag_Jahr,Niederschlag_Sommer,Niederschlag_Frühling,Sonnenstunden_Jahr,Sonnenstunden_Frühling,Sonnenstunden_Sommer,Temperatur_Jahr,Temperatur_Sommer,Temperatur_Frühling
D-1-7836-0384,Siedlung,HA,Kirchheim b.München,POINT(11.75108 48.18218),München,Oberbayern,"FIS-Daten des BLfD, Christlein 1980d S. 86, Schefzik 2001 S. 397, Fender 2017",befestigte Siedlung (Herrenhof) | Siedlungskonzentration (Weiler/Dorf),Einfriedung | eingetiefte Struktur,Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Rechteckbau (Großbau) | Palisade,4482506,5336923,11.763353558061766000,48.170070072370287000,D-1-7836-0384,Siedlung,Frühlatènezeit,"513,69","2,55","162,57","4950,90","2273,69","62,76","29,71",211,6,100,998,368,239,1735,508,665,"8,7","17,5","8,7"
D-2-7143-0015,Siedlung,HA,Deggendorf,POINT(12.97564 48.83732),Deggendorf,Niederbayern,"FIS-Daten des BLfD, Christlein–Hautmann 1980 S. 88, Fender 2017",befestigte Siedlung (Herrenhof) | Siedlungskonzentration (Weiler/Dorf),Einfriedung | eingetiefte Struktur,Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Graben (Abgrenzung) | Palisade | Grube,4566891,5410933,12.909653331611002000,48.832274586420333000,D-2-7143-0015,Grabenwerk,Hallstattzeit,"312,10","1,84","129,10","1750,14","151,73","52,15","23,19",211,16,103,959,284,214,1634,503,660,"8,5","17,4","8,8"
D-5-7031-0309,Grab,HA,Treuchtlingen,POINT(10.87005 48.95755),Weißenburg-Gunzenhausen,Mittelfranken,"FIS-Daten des BLfD, Menghin 1981 S. 102, Fender 2017",Gräberfeld,Brandbestattung (mit Leichenbrandgefäß) | Brandbestattung (ohne Leichenbrandgefäß) | Körperbestattung (ohne Sarg),Grab (mehrere Individuen) | Grab (Nachbestattung) | Grab (waffenführend) | Grabform (quadratisch) | Grabkammer (Stein) | Steinsetzung | Grabtyp (Wagengrab),4422901,5426028,10.945560672949112000,48.966791722688910000,D-5-7031-0309,Siedlung,Hallstattzeit,"421,83","1,17","201,10","3940,50","66,68","40,46","33,34",211,7,98,816,260,192,1686,510,661,"8,7","17,4","8,7"
D-7-7627-0070,Siedlung,LTC,Pfaffenhofen a.d.Roth,POINT(10.16183 48.36107),Neu-Ulm,Schwaben,"FIS-Daten des BLfD, Ambs 2011, Fender 2017",befestigte Siedlung (Einzelgehöft),Einfriedung | eingetiefte Struktur | Werkstatt (Metallverarbeitung),Palisade | Speicherbau | Grubenhaus | Pfostenloch | Grube | Feuer-/Herdstelle,4365429,5358672,10.182857994278965000,48.351560438502773000,D-7-7627-0070,Siedlung,jüngere Latènezeit,"516,00","1,23","79,86","117,18","1135,05","49,46","1,27",211,27,101,837,289,203,1637,488,664,"8,6","17,2","8,5"
D-7-7627-0070,Siedlung,LTD1,Pfaffenhofen a.d.Roth,POINT(10.16183 48.36107),Neu-Ulm,Schwaben,"FIS-Daten des BLfD, Ambs 2011, Fender 2017",befestigte Siedlung,Befestigung | eingetiefte Struktur,Graben | Wall | Befestigung (Tor) | Befestigung (mit Wehrgang)  | Pfostenloch | Gebäude (Pfostenbau) | Gebäude (Schwellbalkenbau) | Speicherbau | Rechteckbau (Großbau) | Grubenhaus | Rechteckbau (Umgangsbau),4365429,5358672,10.182857994278965000,48.351560438502773000,D-7-7627-0070,Siedlung,jüngere Latènezeit,"516,00","1,23","79,86","117,18","1135,05","49,46","1,27",211,27,101,837,289,203,1637,488,664,"8,6","17,2","8,5"
"D-2-7446-0243,D-2-7446-0068",Siedlung,HAD-FLT,Passau\r\n,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 27, Fender 2017",befestigte Siedlung,Befestigung,Befestigung (unbestimmt) | Wall,4608081,5382900,13.463212318884885000,48.574477230389910000,D-2-7446-0243,Abschnittsbefestigung,Frühlatènezeit,"313,17","2,94","177,68","1845,49","214,04","34,50","2,79",111,31,96,912,293,212,1721,531,685,"9,1","18,3","9,6"
"D-2-7446-0068,D-2-7446-0179,D-2-7446-0243,D-2-7446-0177,D-2-7446-0183,D-2-7446-0157,D-2-7446-0245,D-2-7446-0153,D-2-7446-0181,D-2-7446-0028,D-2-7446-0161,D-2-7446-0162",Siedlung,LTC,Passau,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 60, Fender 2017",befestigte Siedlung (Oppidum) | Siedlungskonzentration (offene Großsiedlung),eingetiefte Struktur  | Werkstatt (Keramikproduktion),Pfostenloch | Grube,,,,,,,,,,,,,,,,,,,,,,,,,,
"D-2-7446-0068,D-2-7446-0179,D-2-7446,D-2-7446-0177,D-2-7446-0183,D-2-7446-0157,D-2-7446-0245,D-2-7446-0153,D-2-7446-0181,D-2-7446-0028,D-2-7446-0161,D-2-7446-0162,D-2-7446-0243",Siedlung,LTD1,Passau,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 60, Fender 2017",befestigte Siedlung (Oppidum) | Siedlungskonzentration (offene Großsiedlung),eingetiefte Struktur  | Werkstatt (Keramikproduktion),Pfostenloch | Grube,,,,,,,,,,,,,,,,,,,,,,,,,,
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTB2,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTC1,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTC2,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTD1,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
"D-2-7037-0105,D-2-7037-0084,D-2-7037-0150",Siedlung,HAC,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Siedlungskonzentration (Weiler/Dorf),eingetiefte Struktur | Werkstatt,Gebäude (Pfostenbau) |  Grube (Abfall) | Pfostenloch | Rechteckbau,4489973,5420333,11.861724148873158000,48.920312988006934000,D-2-7037-0105,Bestattung,Spätlatènezeit,"374,85","25,48","26,53","3040,04","405,95","28,80","2,79",211,126,102,859,281,190,1669,511,666,"8,6","17,4","8,7"
"D-2-7037-0197,D-2-7037-0198",Siedlung,HAC,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Siedlungskonzentration (Weiler/Dorf),Einfriedung | eingetiefte Struktur | Werkstatt,Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Graben | Grube (Abfall) | Pfostenloch | Rechteckbau | Palisade,4491358,5419575,11.880638167746994000,48.913517967164381000,D-2-7037-0197,Siedlung,Frühlatènezeit,"344,15","2,30","62,88","1708,33","318,12","37,37","11,44",112,11,95,734,237,160,1661,512,671,"9,0","18,0","9,3"
"D-2-7037-0144,D-2-7037-0198",Grab,HAC,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Hügelgräberfeld,Körperbestattung | Brandbestattung,Tumulus,4491818,5419722,11.886910898375971000,48.914846099379332000,D-2-7037-0144,Bestattung,Hallstattzeit,"345,31","1,41","126,93","1431,70","643,30","38,27","36,66",112,9,95,729,235,158,1662,512,671,"9,0","18,0","9,2"
"D-2-7037-0197,D-2-7037-0198,D-2-7037-0231",Siedlung,LTA,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Siedlungskonzentration (Weiler/Dorf),einfriedung | eingetiefte Struktur,Einfriedung (unbestimmt) | Gebäude (Pfostenbau) | Graben | Grube | Pfostenloch | Rechteckbau | Keller,4491358,5419575,11.880638167746994000,48.913517967164381000,D-2-7037-0197,Siedlung,Frühlatènezeit,"344,15","2,30","62,88","1708,33","318,12","37,37","11,44",112,11,95,734,237,160,1661,512,671,"9,0","18,0","9,3"
"D-2-7037-0197,D-2-7037-0198,D-2-7037-0231",Siedlung,LTB1,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Siedlungskonzentration (Weiler/Dorf),einfriedung | eingetiefte Struktur,Einfriedung (unbestimmt) | Gebäude (Pfostenbau) | Graben | Grube | Pfostenloch | Rechteckbau | Keller,4491358,5419575,11.880638167746994000,48.913517967164381000,D-2-7037-0197,Siedlung,Frühlatènezeit,"344,15","2,30","62,88","1708,33","318,12","37,37","11,44",112,11,95,734,237,160,1661,512,671,"9,0","18,0","9,3"
"D-2-7037-0084,D-2-7037-0150",Siedlung,LTA,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",,Befestigung,Wall | Graben (devensiv),4489569,5420186,11.856215485271582000,48.918984438091044000,D-2-7037-0084,Abschnittsbefestigung,Frühlatènezeit,"467,92","7,79","128,22","2825,11","299,32","27,00","0,43",311,142,104,870,287,195,1673,510,666,"8,4","17,3","8,5"
D-2-7037-0198,Grab,LTB1,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Kluge 1985 S. 182, Tuschwitz 2014, Fender 2017",Einzelgrab,Körperbestattung,,4491406,5420011,11.881283782661715000,48.917439204184362000,D-2-7037-0198,Siedlung,Hallstattzeit,"347,00","2,43","244,89","1929,66","653,84","38,37","7,70",112,9,95,734,237,160,1661,512,671,"9,0","18,0","9,3"
"D-2-7037-0150,D-2-7036-0013,D-2-7037-0087,D-2-7037-0231,D-2-7037-0105,D-2-7037-0110,D-2-7037-0198,D-2-7037-0083,D-2-7037-0144,D-2-7037-0188,D-2-7036-0061,D-2-7037-0193",Siedlung,LTC2,Kelheim,POINT(11.80415 48.9405),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",befestigte Siedlung (Oppidum),Befestigung | eingetiefte Struktur | aufgehender Baubefund | Einfriedung  | Rohmaterialförderung (Eisenabbau) | Rohmaterialförderung (Tagebau) | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenverhüttung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Keramikproduktion) | Werkstatt (Münzprägung) | Werkstatt (Textilproduktion),Befestigung (Balkenkonstruktion) | Brunnen  | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben  | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus  | Metallverarbeitungs-Ofen (Verhüttungsofen) | Wall,4488286,5419615,11.838726332112415000,48.913826890737006000,D-2-7037-0150,Siedlung,Latènezeit,"475,79","5,71","269,12","2048,55","1013,37","30,13","2,23",313,25,102,827,274,184,1671,511,667,"8,5","17,4","8,7"
"D-2-7037-0150,D-2-7036-0013,D-2-7037-0087,D-2-7037-0231,D-2-7037-0105,D-2-7037-0110,D-2-7037-0198,D-2-7037-0083,D-2-7037-0144,D-2-7037-0188,D-2-7036-0061,D-2-7037-0193",Siedlung,LTD1,Kelheim,POINT(11.80415 48.9405),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",befestigte Siedlung (Oppidum),Befestigung | eingetiefte Struktur | aufgehender Baubefund | Einfriedung  | Rohmaterialförderung (Eisenabbau) | Rohmaterialförderung (Tagebau) | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenverhüttung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Keramikproduktion) | Werkstatt (Münzprägung) | Werkstatt (Textilproduktion),Befestigung (Balkenkonstruktion) | Brunnen  | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben  | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus  | Metallverarbeitungs-Ofen (Verhüttungsofen) | Wall,4488286,5419615,11.838726332112415000,48.913826890737006000,D-2-7037-0150,Siedlung,Latènezeit,"475,79","5,71","269,12","2048,55","1013,37","30,13","2,23",313,25,102,827,274,184,1671,511,667,"8,5","17,4","8,7"
"D-2-7037-0150,D-2-7036-0013,D-2-7037-0087,D-2-7037-0231,D-2-7037-0105,D-2-7037-0110,D-2-7037-0198,D-2-7037-0083,D-2-7037-0144,D-2-7037-0188,D-2-7036-0061,D-2-7037-0193",Grab,LTC1,Kelheim,POINT(11.80415 48.9405),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Flachgräberfeld,Körperbestattung | Brandbestattung,Grab (waffenführend),4488286,5419615,11.838726332112415000,48.913826890737006000,D-2-7037-0150,Siedlung,Latènezeit,"475,79","5,71","269,12","2048,55","1013,37","30,13","2,23",313,25,102,827,274,184,1671,511,667,"8,5","17,4","8,7"
"D-2-7037-0150,D-2-7036-0013,D-2-7037-0087,D-2-7037-0231,D-2-7037-0105,D-2-7037-0110,D-2-7037-0198,D-2-7037-0083,D-2-7037-0144,D-2-7037-0188,D-2-7036-0061,D-2-7037-0193",Grab,LTC2,Kelheim,POINT(11.80415 48.9405),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Flachgräberfeld,Körperbestattung | Brandbestattung,Grab (waffenführend),4488286,5419615,11.838726332112415000,48.913826890737006000,D-2-7037-0150,Siedlung,Latènezeit,"475,79","5,71","269,12","2048,55","1013,37","30,13","2,23",313,25,102,827,274,184,1671,511,667,"8,5","17,4","8,7"
"D-2-7037-0150,D-2-7036-0013,D-2-7037-0087,D-2-7037-0231,D-2-7037-0105,D-2-7037-0110,D-2-7037-0198,D-2-7037-0083,D-2-7037-0144,D-2-7037-0188,D-2-7036-0061,D-2-7037-0193",Grab,LTD1,Kelheim,POINT(11.80415 48.9405),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",Flachgräberfeld,Körperbestattung | Brandbestattung,Grab (waffenführend),4488286,5419615,11.838726332112415000,48.913826890737006000,D-2-7037-0150,Siedlung,Latènezeit,"475,79","5,71","269,12","2048,55","1013,37","30,13","2,23",313,25,102,827,274,184,1671,511,667,"8,5","17,4","8,7"
"D-2-7037-0198,D-2-7037-0188",Siedlung,LTD1,Kelheim,POINT(11.89999 48.90127),Kelheim,Niederbayern,"FIS-Daten des BLfD, Tuschwitz 2014, Fender 2017",befestigte Siedlung,Befestigung | eingetiefte Struktur,Wall | Graben (defensiv),4491406,5420011,11.881283782661715000,48.917439204184362000,D-2-7037-0198,Siedlung,Hallstattzeit,"347,00","2,43","244,89","1929,66","653,84","38,37","7,70",112,9,95,734,237,160,1661,512,671,"9,0","18,0","9,3"
D-1-7638-0014,Siedlung,LTD1,Kirchberg,POINT(12.0625 48.40884),Erding,Oberbayern,"FIS-Daten des BLfD, Braasch 1981 S. 106, Fender 2017",befestigte Siedlung,Befestigung,Graben (defensiv) | Wall,4503906,5361664,12.051291176093983000,48.392799761609304000,D-1-7638-0014,Viereckschanze,Spätlatènezeit,"502,83","2,92","241,06","2307,10","98,15","45,22","1,59",242,25,104,932,328,220,1712,512,665,"8,5","17,3","8,6"
D-1-7837-0077,Siedlung,LTD1,Anzing,POINT(11.8544 48.15817),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 232, Irlinger 1996 S. 309, Fender 2017",befestigte Siedlung,Befestigung,Graben,4489776,5334914,11.861143255637611000,48.152161668928954000,D-1-7837-0077,Viereckschanze,Spätlatènezeit,"513,77","1,65","233,90","706,44","497,47","55,94","31,44",211,6,102,1002,372,241,1696,500,644,"8,6","17,3","8,6"
D-1-7734-0086,Grab,HA,Bergkirchen,POINT(11.35984 48.2557),Dachau,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 229, singularch.de/referenzen, Fender 2017",Hügelgräberfeld,Körperbestattung,Grube | Tumulus,4451637,5344636,11.347474527866073000,48.237829324755829000,D-1-7734-0086,Bestattung,Mittellatènezeit,"495,17","0,73","209,41","2852,22","574,78","51,66","61,27",211,6,99,908,325,219,1720,508,666,"8,6","17,5","8,6"
D-1-7734-0086,Siedlung,HA,Bergkirchen,POINT(11.35984 48.2557),Dachau,Oberbayern,"FIS-Daten des BLfD, singularch.de/referenzen, Fender 2017",Siedlungskonzentration (Weiler/Dorf) | Einzelgehöft,eingetiefte Struktur | Werkstatt (Keramikproduktion),Brunnen | Gebäude (Pfostenbau) | Grube | Grube (Abfall) | Grubenhaus | Rechteckbau (Großbau) | Speicherbau,4451637,5344636,11.347474527866073000,48.237829324755829000,D-1-7734-0086,Bestattung,Mittellatènezeit,"495,17","0,73","209,41","2852,22","574,78","51,66","61,27",211,6,99,908,325,219,1720,508,666,"8,6","17,5","8,6"
D-1-7734-0086,Grab,LTB2,Bergkirchen,POINT(11.35984 48.2557),Dachau,Oberbayern,"FIS-Daten des BLfD, singularch.de/referenzen, Fender 2017",Flachgräberfeld,Körperbestattung,Grabform (rechteckig) | Grab anderes,4451637,5344636,11.347474527866073000,48.237829324755829000,D-1-7734-0086,Bestattung,Mittellatènezeit,"495,17","0,73","209,41","2852,22","574,78","51,66","61,27",211,6,99,908,325,219,1720,508,666,"8,6","17,5","8,6"
D-1-7734-0086,Siedlung,LT,Bergkirchen,POINT(11.35984 48.2557),Dachau,Oberbayern,"FIS-Daten des BLfD, singularch.de/referenzen, Fender 2017",Einzelgehöft,eingetiefte Struktur,Gebäude (Pfostenbau) | Pfostenloch,4451637,5344636,11.347474527866073000,48.237829324755829000,D-1-7734-0086,Bestattung,Mittellatènezeit,"495,17","0,73","209,41","2852,22","574,78","51,66","61,27",211,6,99,908,325,219,1720,508,666,"8,6","17,5","8,6"
D-1-7837-0029,Siedlung,LTD1,Forstinning,POINT(11.90597 48.17481),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 234, Fender 2017",befestigte Siedlung,Befestigung | eingetiefte Struktur,Befestigung (Tor) | Graben (defensiv) | Grube,4494308,5337073,11.922023270433170000,48.171635340842506000,D-1-7837-0029,Viereckschanze,Spätlatènezeit,"515,69","1,81","203,23","0,00","231,33","53,88","45,44",242,9,103,993,369,239,1688,499,638,"8,6","17,3","8,6"
D-1-7936-0017,Siedlung,LTD1,Oberpframmern,POINT(11.81393 48.03221),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 235, Fender 2017",befestigte Siedlung,Befestigung,Graben,4485351,5321081,11.802148595286850000,48.027669330040965000,D-1-7936-0017,Viereckschanze,Spätlatènezeit,"579,92","1,94","140,62","12908,68","3713,83","51,90","1,55",211,10,106,1149,437,274,1690,493,639,"8,3","16,9","8,3"
D-1-7836-0466,Siedlung,HA,Pliening,POINT(11.79527 48.19831),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 235-236, Fender 2017",Siedlungskonzentration (Weiler/Dorf),eingetiefte Struktur,Feuer-/Herdstelle | Gebäude (Pfostenbau) | Gebäude (Pfostenbau) | Grube | Pfostenloch | Graben,4485758,5339141,11.807000188221064000,48.190098536613526000,D-1-7836-0466,Siedlung,Hallstattzeit,"505,33","1,33","154,64","1636,14","1406,93","59,93","104,16",211,6,102,958,352,228,1717,506,656,"8,6","17,4","8,6"
D-1-7836-0553,Siedlung,HA,Pliening,POINT(11.79527 48.19831),Ebersberg,Oberbayern,FIS-Daten des BLfD,befestigte Siedlung (Herrenhof),eingetiefte Struktur,Graben (Grabensystem),,,,,,,,,,,,,,,,,,,,,,,,,,
D-1-7836-0469,Siedlung,HA,Pliening,POINT(11.79527 48.19831),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 236, Fender 2017",,eingetiefte Struktur,Brunnen | Gebäude (Pfostenbau) |Graben | Grube | Pfostenloch | Rechteckbau | Speicherbau  |,4485420,5339685,11.802435457570438000,48.194983151205768000,D-1-7836-0469,Siedlung,Hallstattzeit,"506,46","2,28","111,41","2008,05","2014,25","60,23","0,64",112,10,101,931,343,220,1722,506,659,"8,7","17,5","8,7"
D-1-7836-0469,Einzelfund,LT,Pliening,POINT(11.79527 48.19831),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 236, Fender 2017",,,,4485420,5339685,11.802435457570438000,48.194983151205768000,D-1-7836-0469,Siedlung,Hallstattzeit,"506,46","2,28","111,41","2008,05","2014,25","60,23","0,64",112,10,101,931,343,220,1722,506,659,"8,7","17,5","8,7"
D-1-7736-0024,Siedlung,LTD1,Pliening,POINT(11.79527 48.19831),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 237, Irlinger 1996 S. 318, Fender 2017",befestigte Siedlung,Befestigung,Graben (defensiv),4485439,5340511,11.802662589790277000,48.202411980413238000,D-1-7736-0024,Viereckschanze,Spätlatènezeit,"499,36","0,93","237,54","2255,30","2191,89","60,13","4,20",211,8,102,910,335,214,1725,508,660,"8,7","17,5","8,7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38', '1","36', '141","91', '1847","05', '59","43', '7","00', 112, '10', '101', '965', '356', '229', '1717', '506', '656', '8","6', '17","4', '8",6',,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38', '1","36', '141","91', '1847","05', '59","43', '7","00', 112, '10', '101', '965', '356', '229', '1717', '506', '656', '8","6', '17","4', '8",6',,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-1-7836-0530,Siedlung,HA,Poing,POINT(11.80273 48.16859),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 240, Fender 2017",Siedlungskonzentration (Weiler/Dorf),Einfriedung  | eingetiefte Struktur,Brunnen | Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Graben (Abgrenzung) | Grube | Rechteckbau | Speicherbau,4486020,5336247,11.810619556960292000,48.164077918456009000,D-1-7836-0530,Siedlung,Hallstattzeit,"516,00","2,38","203,79","1416,59","1220,87","58,98","72,22",112,8,101,1021,376,247,1724,504,658,"8,6","17,4","8,6"
D-1-7836-0444,Grab,HAC,Poing,POINT(11.80273 48.16859),Ebersberg,Oberbayern,"FIS-Daten des BLfD, Schefzik 2001 S. 243, Fender 2017",,eingetiefte Struktur,Kreisgraben,4484754,5336367,11.793596591027958000,48.165127904070729000,D-1-7836-0444,Viereckschanze,Spätlatènezeit,"514,83","2,34","188,13","2641,42","2137,71","60,90","14,49",211,10,101,1019,376,245,1727,506,658,"8,6","17,4","8,6"
